Reference ID,Count,Value,Link
"L1, L2",2,22uH,https://www.ozdisan.com/p/sabit-induktorler-468/core-master-nr4018-220m-508903
"Q1, Q2, Q3",3,AO3400A,https://www.ozdisan.com/p/discrete-mosfetler-435/hottech-ao3406-ht-487239?s=HOTTECH+AO3406-HT
U3,1,AQY212GZS,https://www.ozdisan.com/p/solid-state-roleler-405/panasonic-comp-aqy212gsz-596939
"U1, U2",2,ULN2003ADR ,https://www.ozdisan.com/p/sira-transistor-entegreler-240/texas-uln2003adr-8671?catSequenceId=240
"U4, U5",2,TS3552CS,https://www.ozdisan.com/p/dc-dc-voltaj-kontrolorleri-274/tsc-ts3552cs-rlg-1211031?s=TS3552CS+RLG
"R28, R34",2,44.2k,https://www.ozdisan.com/p/smt-smd-ve-cip-direncler-194/panasoniceurope-erj6enf4422v-1159784?catSequenceId=194
